institution_code,institution_name
3786,Escuela El Sauce
3791,Escuela El Torreon
3798,Escuela San Jorge De Niquen
3799,Escuela Chacay
3800,Liceo Tiuquilemu
3801,Escuela Niquen
3802,Liceo San Gregorio
3804,Escuela Zemita
3815,Escuela Puertas De Virguin
3818,Escuela Colvindo
3842,Escuela Heroes De Iquique
3843,Escuela Porvenir De Cato
3846,Escuela Básica Embalse Coihueco
3851,Escuela Hernán Merino Correa
3852,Escuela Anibal Pinto
3853,Escuela Julio Montt Salamanca
3854,Escuela Cancha Rayada
3855,Escuela General Pedro Lagos Marchant
3856,Escuela Manuel Matus Hermosilla
3857,Escuela Benjamin Vicuna Mackenna
3859,Escuela San Antonio De Frutillares
3871,Liceo Bicentenario Politécnico José Manuel Pinto Arias
3872,Escuela Jose Toha Soldevilla
3874,Escuela Javier Jarpa Sotomayor
3876,Escuela Hector Manuel Arias Cortes
3877,Escuela Santa Eduviges
3882,Escuela Nido De Golondrinas
3883,Escuela Basica Juan Jorge
3884,Escuela San Alfonso
4142,Escuela La Merced
1520,Liceo Bicentenario Maritimo De Valparaiso
1521,Liceo De Ninas Maria Franck De Macdougal
1522,Colegio Pedro Montt
1524,Escuela Republica Arabe Siria
1525,Liceo Bicentenario Instituto Técnico Profesional Martítimo De Valparaíso
4531,Colegio Marina De Chile
4540,Escuela Parvularia Blanca Estela
4548,Colegio Biobío
4551,Escuela Básica Común Hospital
4553,Liceo De Niñas
4555,Liceo Enrique Molina Garmendia
4557,Liceo Polivalente Experimental Lucila Godoy Alcayaga
4559,Liceo Lorenzo Arenas Olivo
3406,Escuela Carlos Ziniga Fuentes
4560,Liceo Chiguayante
4561,Liceo Juan Martinez De Rozas
4562,Liceo San Pedro
4563,Colegio República Del Ecuador
4564,Colegio Bicentenario República Del Brasil
4565,Liceo Domingo Santa María
4571,Liceo Jose Hipolito Salas Y Toro
4572,Colegio Gran Bretaña
4588,Colegio Juan Gregorio Las Heras
4589,Liceo Lucero Gonzalez
4591,Escuela Basica Republica De Grecia
4592,Escuela Básica Irene Frei De Cid
4593,Basica Sargento Candelaria Perez
4594,Escuela Miguel Jose Zanartu Santa Maria
4595,Escuela Enrique Soro Barriga
4597,Escuela La Esperanza
4603,Escuela Basica Lagos De Chile
4609,Escuela Palestina De Palomares
4611,Escuela Basica Luis Alberto Acevedo
4612,Escuela Luis Alfredo Muñoz Burboa
4613,Escuela Basica Lautaro
4614,Escuela Basica Agua De La Gloria
4615,Escuela Basica Boca Del Bio Bio Sur
4617,Colegio Galvarino De Lomas Coloradas
