city_id,code_national,city
185,16109,"Yungay, Ñuble"
196,16202,"Cobquecura, Ñuble"
205,8314,"Alto Biobío, Biobío"
206,8308,"Quilaco, Biobío"
207,8305,"Mulchén, Biobío"
199,8301,"Los Ángeles, Biobío"
210,8310,"San Rosendo, Biobío"
200,8304,"Laja, Biobío"
202,8302,"Antuco, Biobío"
203,8309,"Quilleco, Biobío"
208,8307,"Negrete, Biobío"
211,8313,"Yumbel, Biobío"
201,8312,"Tucapel, Biobío"
209,8306,"Nacimiento, Biobío"
192,8303,"Cabrero, Biobío"
204,8311,"Santa Bárbara, Biobío"
215,8103,"Chiguayante, Biobío"
217,8110,"Talcahuano, Biobío"
216,8112,"Hualpén, Biobío"
213,8101,"Concepción, Biobío"
214,8108,"San Pedro De La Paz, Biobío"
222,8109,"Santa Juana, Biobío"
221,8105,"Hualqui, Biobío"
224,8102,"Coronel, Biobío"
223,8106,"Lota, Biobío"
218,8107,"Penco, Biobío"
219,8111,"Tomé, Biobío"
220,8104,"Florida, Biobío"
232,8207,"Tirúa, Biobío"
227,8202,"Arauco, Biobío"
228,8205,"Curanilahue, Biobío"
230,8203,"Cañete, Biobío"
226,8201,"Lebu, Biobío"
231,8204,"Contulmo, Biobío"
229,8206,"Los Álamos, Biobío"
242,9210,"Traiguén, La Araucanía"
237,9202,"Collipulli, La Araucanía"
235,9201,"Angol, La Araucanía"
243,9207,"Lumaco, La Araucanía"
241,9211,"Victoria, La Araucanía"
246,9208,"Purén, La Araucanía"
236,9209,"Renaico, La Araucanía"
238,9205,"Lonquimay, La Araucanía"
240,9204,"Ercilla, La Araucanía"
247,9206,"Los Sauces, La Araucanía"
239,9203,"Curacautín, La Araucanía"
254,9103,"Cunco, La Araucanía"
251,9119,"Vilcún, La Araucanía"
266,9116,"Saavedra, La Araucanía"
267,9102,"Carahue, La Araucanía"
261,9111,"Nueva Imperial, La Araucanía"
252,9108,"Lautaro, La Araucanía"
253,9113,"Perquenco, La Araucanía"
268,9121,"Cholchol, La Araucanía"
256,9110,"Melipeuco, La Araucanía"
245,9106,"Galvarino, La Araucanía"
248,9101,"Temuco, La Araucanía"
260,9105,"Freire, La Araucanía"
264,9118,"Toltén, La Araucanía"
262,9114,"Pitrufquén, La Araucanía"
259,9109,"Loncoche, La Araucanía"
258,9115,"Pucón, La Araucanía"
263,9107,"Gorbea, La Araucanía"
257,9104,"Curarrehue, La Araucanía"
265,9117,"Teodoro Schmidt, La Araucanía"
250,9112,"Padre Las Casas, La Araucanía"
255,9120,"Villarrica, La Araucanía"
282,14102,"Corral, Los Ríos"
281,14107,"Paillaco, Los Ríos"
275,14106,"Mariquina, Los Ríos"
271,14101,"Valdivia, Los Ríos"
284,14108,"Panguipulli, Los Ríos"
278,14103,"Lanco, Los Ríos"
283,14105,"Máfil, Los Ríos"
279,14104,"Los Lagos, Los Ríos"
298,10108,"Maullin, Los Lagos"
316,10403,"Hualaihué, Los Lagos"
301,10107,"Llanquihue, Los Lagos"
274,10101,"Puerto Montt, Los Lagos"
297,10102,"Calbuco, Los Lagos"
299,10106,"Los Muermos, Los Lagos"
296,10103,"Cochamó, Los Lagos"
300,10104,"Fresia, Los Lagos"
290,10109,"Puerto Varas, Los Lagos"
302,10105,"Frutillar, Los Lagos"
285,14201,"La Unión, Los Ríos"
280,14202,"Futrono, Los Ríos"
277,14203,"Lago Ranco, Los Ríos"
286,14204,"Río Bueno, Los Ríos"
291,10304,"Puyehue, Los Lagos"
289,10307,"San Pablo, Los Lagos"
293,10303,"Purranque, Los Lagos"
288,10301,"Osorno, Los Lagos"
292,10302,"Puerto Octay, Los Lagos"
295,10306,"San Juan De La Costa, Los Lagos"
294,10305,"Río Negro, Los Lagos"
306,10209,"Quemchi, Los Lagos"
307,10205,"Dalcahue, Los Lagos"
312,10207,"Queilén, Los Lagos"
