id,latitud,longitud,address_street,plocation_id,coordinates,campus_code,institution_code,imputed
8448,-34.956177,-71.12512,Avda. Quilvo 482 167,140,POINT (-71.12512 -34.956177),1659400001,16594,false
8449,-35.96315,-71.682137,4 Norte 358,165,POINT (-71.682137 -35.96315),1659500001,16595,false
8450,-35.446922,-71.65484,8 Sur 1747,150,POINT (-71.65484 -35.446922),1659700001,16597,false
8451,-34.9857972,-71.25445908,"Villa Italia, Pasaje Colbun 1429",140,POINT (-71.25445908 -34.9857972),1659800001,16598,false
8452,-35.41062,-71.65786,"5 Oriente N° 2381, Talca 2381",150,POINT (-71.65786 -35.41062),1659900001,16599,false
8453,-34.97297,-71.25259,Av. Circunvalacion Diego Portales 1589,140,POINT (-71.25259 -34.97297),1660000001,16600,false
8454,-35.85414,-71.59355,Avenida Brasil 48,161,POINT (-71.59355 -35.85414),1660100001,16601,false
8455,-35.530453,-71.48423,Orlando Espinoza Poblacion 21 De Marzo 415,154,POINT (-71.48423 -35.530453),1660200001,16602,false
8456,-35.542053,-71.48422,"Elisa Alvarez, Pobl. San Maximo San Clemente 132",154,POINT (-71.48422 -35.542053),1660300001,16603,false
8457,-35.43183,-71.66226,5 Sur 1078,150,POINT (-71.66226 -35.43183),1660400001,16604,false
8458,-35.44706,-71.681526,5 Poniente 27 Sur 1088,150,POINT (-71.681526 -35.44706),1660600001,16606,false
8459,-34.935284,-71.19915,Avenida Sarmiento S/N,140,POINT (-71.19915 -34.935284),1660700001,16607,false
8460,-35.0597894,-71.2658164,Villa Santa Amalia Pasaje 11 S/N. Lontue S/N,143,POINT (-71.2658164 -35.0597894),1660800001,16608,false
8461,-34.998215,-71.38228,Presbitero Tomas Ignacio Correa 239 S/N,144,POINT (-71.38228 -34.998215),1661000001,16610,false
8462,-36.130833,-71.818984,Buenos Aires No 503-A Parral 503,166,POINT (-71.818984 -36.130833),1661300001,16613,false
8463,-35.332643,-72.420756,Prieto 1011,158,POINT (-72.420756 -35.332643),1661500001,16615,false
8464,-34.99889,-71.251816,"Poblacionaguas Negras, Rancura 987 S/N",140,POINT (-71.251816 -34.99889),1661600001,16616,false
8465,-35.53357,-71.48573,Armando Ramirez 919 S/N,154,POINT (-71.48573 -35.53357),1661700001,16617,false
8466,-35.091644,-72.02665710449219,Pablo Neruda S/N,159,POINT (-72.02665710449219 -35.091644),1661900001,16619,false
8467,-35.43319062,-71.61712662,3 Norte Parque Universitario 3782,150,POINT (-71.61712662 -35.43319062),1662100001,16621,false
8468,-33.811172,-70.74028015136719,5 Oriente 2700,150,POINT (-70.74028015136719 -33.811172),1662200001,16622,false
8469,-35.441322,-71.63538,Cooperativa Lircay 8 1/2 Sur Con 29 Oriente . 239,150,POINT (-71.63538 -35.441322),1662300001,16623,false
8471,-35.58867,-71.61171,Orilla De Maule Km 3 1/2 3042,168,POINT (-71.61171 -35.58867),1662500001,16625,false
8475,-35.07207,-71.15572,Oceano Pacifico Poblacionsta.Elena Los Niches 81,140,POINT (-71.15572 -35.07207),1663000001,16630,false
8476,-35.59242,-71.729095,Torreblanca 2364,168,POINT (-71.729095 -35.59242),1663100001,16631,false
8477,-35.446623,-71.62724304199219,10 Sur  A  34 Oriente 3656,150,POINT (-71.62724304199219 -35.446623),1663300001,16633,false
8478,-34.88065,-71.16022,Avda. Bellavista 348,141,POINT (-71.16022 -34.88065),1663400001,16634,false
8479,-35.436806,-71.64143,19 Oriente Villa Cooperativa Oriente 461,150,POINT (-71.64143 -35.436806),1663600001,16636,false
8480,-35.04325,-71.30973,Senador Ulises Correa S/N,144,POINT (-71.30973 -35.04325),1663700001,16637,false
8481,-53.41008,-71.62178039550781,22 Y Media Norte 27 Y Media Oriente 3545,150,POINT (-71.62178039550781 -53.41008),1663900001,16639,false
8482,-35.445297,-71.628395,9 1/2 Sur 3593 S/N,150,POINT (-71.628395 -35.445297),1664000001,16640,false
8483,-35.85104,-71.59755,Esperanza 575,161,POINT (-71.59755 -35.85104),1664200001,16642,false
8486,-35.699066,-71.40267,Gustavo Valdes 471 Colbun S/N,164,POINT (-71.40267 -35.699066),1664500001,16645,false
8487,-35.072693,-71.25733,Villa Ilusion. Casablanca 3,143,POINT (-71.25733 -35.072693),1664600001,16646,false
8488,-35.43609,-71.6254,Avenida San Miguel 3482,150,POINT (-71.6254 -35.43609),1664700001,16647,false
8489,-34.872486,-71.16481,El Ciruelo 121 S/N,141,POINT (-71.16481 -34.872486),1664900001,16649,false
8490,-34.97163,-71.25363,"Poblacion Jose Olano Arismendi, Lago Maihue 1585",140,POINT (-71.25363 -34.97163),1665200001,16652,false
8491,-35.42361,-71.65562,5 Oriente 10 Norte Nº 2107 S/N,150,POINT (-71.65562 -35.42361),1665400001,16654,false
8492,-35.42954,-71.65625,2 Sur 1448,150,POINT (-71.65625 -35.42954),1665600001,16656,false
8493,-35.96587766,-72.33201547,Antonio Varas 1528 S/N,170,POINT (-72.33201547 -35.96587766),1665800001,16658,false
8494,-35.397787,-71.798698,"Fernando Parot Silva, Sitio 7b S/N",157,POINT (-71.798698 -35.397787),1665900001,16659,false
8495,-35.04248,-71.45775,"Santa Ana S/N., Comuna Sagrada Familia, Prov. Curico S/N",144,POINT (-71.45775 -35.04248),1666100001,16661,false
8496,-35.4434629,-71.67894744873047,22 Sur 349,150,POINT (-71.67894744873047 -35.4434629),1666200001,16662,false
8497,-35.443558,-71.693665,Villa Magisterio 27 Sur 15 1/2 Pte 127,150,POINT (-71.693665 -35.443558),1666300001,16663,false
8498,-35.418077,-71.643256,14 Oriente 2160,150,POINT (-71.643256 -35.418077),1666400001,16664,false
8499,-35.445114,-71.67552,23 Sur 526 Villa Pucara 526,150,POINT (-71.67552 -35.445114),1666500001,16665,false
8500,-35.437435,-71.69106,22 1/2 Sur 52 Talca S/N,150,POINT (-71.69106 -35.437435),1666600001,16666,false
8501,-35.446594,-71.68973,27 1/2 Sur Villa Las Araucarias 186,150,POINT (-71.68973 -35.446594),1666700001,16667,false
8502,-35.967432,-72.311369,Victoria 201,170,POINT (-72.311369 -35.967432),1666800001,16668,false
8503,-35.44374,-71.68582,Avenida Colin 962,150,POINT (-71.68582 -35.44374),1667100001,16671,false
8504,-35.4271317,-71.6134554,4 Norte 3 Poniente N° 496 S/N,150,POINT (-71.6134554 -35.4271317),1667200001,16672,false
8506,-36.13808,-71.82622,Arturo Prat 161,166,POINT (-71.82622 -36.13808),1667500001,16675,false
8507,-35.40396,-71.64847,19 Nte 6 Ote S/N,150,POINT (-71.64847 -35.40396),1667600001,16676,false
8508,-36.05762,-71.76345,Lote 4 El Molino Rinconada S/N,167,POINT (-71.76345 -36.05762),1667700001,16677,false
8509,-35.42902,-71.64543,1 Sur 2098,150,POINT (-71.64543 -35.42902),1667800001,16678,false
8510,-35.59892,-71.74126,Marta Bezanilla 3062 Poblacion San Pablo S/N,168,POINT (-71.74126 -35.59892),1667900001,16679,false
8511,-34.92468384,-71.31616762,Balmaceda 32 Rauco S/N,148,POINT (-71.31616762 -34.92468384),1668000001,16680,false
8512,-35.84098262,-71.58507362,Calle Camilo Henriquez 52,161,POINT (-71.58507362 -35.84098262),1668200001,16682,false
8513,-34.974434,-71.21683,Villa Andres Bello Calle Dunum 1871,140,POINT (-71.21683 -34.974434),1668300001,16683,false
8514,-35.11288,-71.27561,Av. Oriente 1630,143,POINT (-71.27561 -35.11288),1668500001,16685,false
8515,-35.44035,-71.62902,31 1/2 Oriente B Pob.San Luis Ii 535,150,POINT (-71.62902 -35.44035),1668600001,16686,false
8516,-35.45384,-71.68378,Villa Santa Teresa De Colìn Duao 193,155,POINT (-71.68378 -35.45384),1668700001,16687,false
8517,-35.42436,-71.65748,3 Norte 6 Y 7 Ote 1340,150,POINT (-71.65748 -35.42436),1668900001,16689,false
8518,-35.51887,-71.685579047,Pobl. Carlos Ibanez .Violetas Loteo 3a S/N,155,POINT (-71.685579047 -35.51887),1669000001,16690,false
8519,-35.60011,-71.73886,Poblacion Manuel Montt Calle Hernan Lobos Arias 2827,168,POINT (-71.73886 -35.60011),1669200001,16692,false
8520,-35.01218,-71.1237,"Villa Cordillera, Manzana A, Lote 14, San Alberto La Obra, Curico S/N",140,POINT (-71.1237 -35.01218),1669300001,16693,false
9628,-35.839105,-71.582544,"",161,POINT (-71.582544 -35.839105),2053800001,20538,false
8521,-35.63605,-71.26375,Lote A Sitio 7 El Colorado S/N,154,POINT (-71.26375 -35.63605),1669400001,16694,false
8524,-35.50399,-71.35269,Brasil 753,161,POINT (-71.35269 -35.50399),1669600001,16696,false
8525,-34.99778,-71.23689,Membrillar 436,140,POINT (-71.23689 -34.99778),1669700001,16697,false
8526,-34.9758,-71.2611,Camino Tutuquen 1800,140,POINT (-71.2611 -34.9758),1669800001,16698,false
8527,-35.408173,-71.65608,5 Oriente 14 Norte Loteo Prosperidad 80,150,POINT (-71.65608 -35.408173),1669900001,16699,false
8529,-35.445415,-71.66767,2 Oriente 17 Y 18 Sur  Cooperativa El Toro 14,150,POINT (-71.66767 -35.445415),1670200001,16702,false
8530,-35.522869,-71.69288635253906,Arturo Prat 415,155,POINT (-71.69288635253906 -35.522869),1670300001,16703,false
8531,-35.52862,-71.48803,"Pobl. 5 De Noviembre, Ignacio Carrera Pinto 1321 San Clemente 1321",154,POINT (-71.48803 -35.52862),1670400001,16704,false
8532,-35.00171666,-71.22873105,San Luis Camino Los Niches S/N,140,POINT (-71.22873105 -35.00171666),1670500001,16705,false
8534,-35.520776,-71.687641,Diego Portales 142,155,POINT (-71.687641 -35.520776),1670900001,16709,false
8535,-34.983063,-71.985374,Mataquito 230 S/N,147,POINT (-71.985374 -34.983063),1671100001,16711,false
8536,-34.868843,-71.16154,Esmeralda 190,141,POINT (-71.16154 -34.868843),1671200001,16712,false
8537,-34.9503,-71.22739,Hijuela Santa Julia Camino A Sarmiento S/N,140,POINT (-71.22739 -34.9503),1671300001,16713,false
8538,-34.9625107,-71.2289781,Avenida Leon Juan Luis Diez S/N,140,POINT (-71.2289781 -34.9625107),1671500001,16715,false
8539,-34.98447,-71.21465,Calle Manuel Labra Nº 205 Camino Zapallar Curico S/N,140,POINT (-71.21465 -34.98447),1671600001,16716,false
8540,-35.30678,-71.51669,Calle Arturo Prat (Ex Dino Balvoni) S/N,152,POINT (-71.51669 -35.30678),1671700001,16717,false
